track,track_id,artist,album,sp_release_date,duration,explicit,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,time_signature,playcount,video_id,view,channelTitle,yt_release_date,title,genres
Shape of You,0FE9t6xYkqWXU2ahLh6D8X,Ed Sheeran,Shape of You,2017-01-06,03:54,0,0.825,0.652,1,-3.183,0,0.0802,0.0,0.0931,0.931,95.977,4,2971854102,JGwWNGJdvx8,5533840092,Ed Sheeran,2017-01-30T10:57:50Z,Ed Sheeran - Shape of You (Official Music Video),pop
Shape of You,0FE9t6xYkqWXU2ahLh6D8X,Ed Sheeran,Shape of You,2017-01-06,03:54,0,0.825,0.652,1,-3.183,0,0.0802,0.0,0.0931,0.931,95.977,4,2971854102,JGwWNGJdvx8,5533840092,Ed Sheeran,2017-01-30T10:57:50Z,Ed Sheeran - Shape of You (Official Music Video),electronic-dance
Blinding Lights,0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,2019-11-29,03:22,0,0.513,0.796,1,-4.075,1,0.0629,0.000209,0.0938,0.345,171.017,4,2636804603,fHI8X4OXluQ,611764719,TheWeekndVEVO,2019-11-29T05:00:08Z,The Weeknd - Blinding Lights (Official Audio),electronic-dance
Blinding Lights,0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,2019-11-29,03:22,0,0.513,0.796,1,-4.075,1,0.0629,0.000209,0.0938,0.345,171.017,4,2636804603,fHI8X4OXluQ,611764719,TheWeekndVEVO,2019-11-29T05:00:08Z,The Weeknd - Blinding Lights (Official Audio),pop
Dance Monkey,5ZULALImTm80tzUbYQYM9d,Tones And I,The Kids Are Coming,2019-08-29,03:29,0,0.824,0.588,6,-6.4,0,0.0924,0.000104,0.149,0.513,98.027,4,2407586466,q0hyYWKXF0Q,1732473790,Tones And I,2019-06-24T22:01:36Z,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),pop
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,rockstar,2017-09-15,03:38,1,0.577,0.522,5,-6.594,0,0.0984,9.03e-05,0.142,0.119,159.772,4,2299920941,UceaB4D0jpo,930777018,PostMaloneVEVO,2017-11-22T05:00:01Z,Post Malone - rockstar ft. 21 Savage,hip hop
One Dance,1xznGGDReH1oQq0xzbwXa3,Drake,Views,2016-05-06,02:54,0,0.791,0.619,1,-5.886,1,0.0532,0.00423,0.351,0.371,103.989,4,2169189786,iAbnEUA0wpA,125034981,Chris Obando,2018-10-30T17:26:40Z,One Dance-Drake (feat. Wizkid &amp; Kyla),electronic-dance
One Dance,1xznGGDReH1oQq0xzbwXa3,Drake,Views,2016-05-06,02:54,0,0.791,0.619,1,-5.886,1,0.0532,0.00423,0.351,0.371,103.989,4,2169189786,iAbnEUA0wpA,125034981,Chris Obando,2018-10-30T17:26:40Z,One Dance-Drake (feat. Wizkid &amp; Kyla),jazz
One Dance,1xznGGDReH1oQq0xzbwXa3,Drake,Views,2016-05-06,02:54,0,0.791,0.619,1,-5.886,1,0.0532,0.00423,0.351,0.371,103.989,4,2169189786,iAbnEUA0wpA,125034981,Chris Obando,2018-10-30T17:26:40Z,One Dance-Drake (feat. Wizkid &amp; Kyla),pop
One Dance,1xznGGDReH1oQq0xzbwXa3,Drake,Views,2016-05-06,02:54,0,0.791,0.619,1,-5.886,1,0.0532,0.00423,0.351,0.371,103.989,4,2169189786,iAbnEUA0wpA,125034981,Chris Obando,2018-10-30T17:26:40Z,One Dance-Drake (feat. Wizkid &amp; Kyla),r&b
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,2016-07-29,04:5,0,0.748,0.524,8,-5.599,1,0.0338,0.0,0.111,0.661,95.01,4,2149279940,PT2_F-1esPk,2748130531,ChainsmokersVEVO,2016-07-29T07:00:02Z,The Chainsmokers - Closer (Lyric) ft. Halsey,electronic-dance
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,2016-07-29,04:5,0,0.748,0.524,8,-5.599,1,0.0338,0.0,0.111,0.661,95.01,4,2149279940,PT2_F-1esPk,2748130531,ChainsmokersVEVO,2016-07-29T07:00:02Z,The Chainsmokers - Closer (Lyric) ft. Halsey,pop
Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),2018-10-18,02:38,0,0.753,0.498,2,-5.61,1,0.0504,0.0,0.0706,0.927,89.95,4,2093628316,ApXoWvfEYVU,1628249621,PostMaloneVEVO,2018-10-18T16:00:03Z,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",hip hop
Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),2018-10-18,02:38,0,0.753,0.498,2,-5.61,1,0.0504,0.0,0.0706,0.927,89.95,4,2093628316,ApXoWvfEYVU,1628249621,PostMaloneVEVO,2018-10-18T16:00:03Z,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",pop
Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),2018-10-18,02:38,0,0.753,0.498,2,-5.61,1,0.0504,0.0,0.0706,0.927,89.95,4,2093628316,ApXoWvfEYVU,1628249621,PostMaloneVEVO,2018-10-18T16:00:03Z,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",r&b
God's Plan,6T8cJz5lAqGer9GUHGyelE,Drake,Scary Hours,2018-01-20,03:19,1,0.755,0.448,7,-9.587,1,0.107,3.28e-05,0.514,0.318,77.179,4,1842127292,xpVfcZ0ZcFM,1372907744,DrakeVEVO,2018-02-17T05:00:01Z,Drake - God&#39;s Plan,pop
God's Plan,6T8cJz5lAqGer9GUHGyelE,Drake,Scary Hours,2018-01-20,03:19,1,0.755,0.448,7,-9.587,1,0.107,3.28e-05,0.514,0.318,77.179,4,1842127292,xpVfcZ0ZcFM,1372907744,DrakeVEVO,2018-02-17T05:00:01Z,Drake - God&#39;s Plan,hip hop
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,x (Deluxe Edition),2014-06-21,04:42,0,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,4,1883333813,lp-EO5I60KA,3362661718,Ed Sheeran,2014-10-07T13:57:37Z,Ed Sheeran - Thinking Out Loud (Official Music Video),r&b
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,x (Deluxe Edition),2014-06-21,04:42,0,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,4,1883333813,lp-EO5I60KA,3362661718,Ed Sheeran,2014-10-07T13:57:37Z,Ed Sheeran - Thinking Out Loud (Official Music Video),rock
Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,Señorita,2019-06-21,03:11,0,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,4,1994046572,Pkh8UtuejGw,1322184034,ShawnMendesVEVO,2019-06-21T03:57:42Z,"Shawn Mendes, Camila Cabello - Señorita",pop
