album_index,album_id,album_name
2420,2WqGsuxmIREkcArxbp5IK0,Back & Forth
2421,0K1826JxL1dViQBsEKApN5,17
2422,0Jt2LzWgtGxy3GZH5i2Kcy,Discography - Complete Singles Collection
2423,5XpEKORZ4y6OrCZSKsi46A,Norman Fucking Rockwell!
2424,1Db95k6t4rCPHSmdfsTeDl,Qué Pena
2443,5mUdh6YWnUvf0MfklEk1oi,Stuck with U
2444,6M4VOF1ExBRii1x20Pk0GR,Savage Remix (feat. Beyoncé)
2447,0vrKGjXSGcTsxNGxQdXT5p,AJ Tracey
2448,0j12QW17dkUCCI7eOAiT1r,Sleeping With The Past (Remastered with bonus tracks)
2455,0tzusAckn6CYqaCBRJHiAh,Living Facts
2456,30FZign4ARPElEZ23nU0ns,Keii
2468,0uxvuY8Ek2ojzHrWTg2PDc,TRANSLATION
2470,6fmnT17jc2Sc69q3nza1eD,True Blue (Reissue)
2471,43lok9zd7BW5CoYkXZs7S0,Celebration (double disc version)
2472,1hg0pQJLE9dzfT1kgZtDPr,Confessions on a Dance Floor
2473,0jZfbz0dNfDjPSg0hYJNth,Believe
2474,3srdrIrP3V7LTmRujRfLhK,Heart Of Stone
2475,7gVHUNPQr0AE2A0Yf5MjqR,Private Dancer (30th Anniversary Issue)
2476,3hgAoHSmany3EiKL0Aqh3G,Foreign Affair
2477,0VJI3wpebzRyVHq0eZQidb,The Very Best of Bonnie Tyler
2478,4doea7KA9jw7nkm3IOs0PR,Secret Dreams and Forbidden Fire
2487,4vJKlj9rjpFliOTWgriL2R,Unfinished Business
2540,00eiw4KOJZ7eC3NBEpmH4C,Use Your Illusion II
2541,5MzwGwnO9gkh0z6Nl4FF8h,The Immaculate Collection
2552,2tGRWs8mrUVyjgbMIQpWQN,Somebody
2566,6aqSlutLYNpzSsK4dV5jTr,UN DIA (ONE DAY) (Feat. Tainy)
2567,4UReuCFdVRnknNRwj8ZJ4B,NAKAMURA (Deluxe Edition)
2600,2T7gtA4Dt3Nxhh3uVRclTs,Triebwerke
2601,2JtKf1aFxqS0M3QIj98nG5,Deux frères
2607,3gNsjaUsu9cRckgUFx5NsY,That's Life
2608,66v9QmjAj0Wwhh2OpbU4BE,Come Fly With Me (Remastered)
2610,7yeVUGG3xvGjKwhM2FBItZ,The Classic Years: 1956-1962
2611,34wa3zf2prXFMk47t9zHFG,Merry Christmas From Brenda Lee
2613,11qEWtxwrKQUgOBPsff4op,The Wonderful World Of Sam Cooke
2627,4hR7jjsPvRwwcHx8ntJSQS,Holy
2628,0uzAVFqstsfwdLtnDs6zm8,stupid
2629,2O985DZAb4i6M6iu4HWqSX,Relación (Remix)
2640,7JoyVaXzxpgTPjkgB8mWk3,Boasty (feat. Idris Elba)
2641,3Gby5NNeNYkMgAnrtEA3lc,On The 6
2649,3Fcqa5sb0vVYEEDHzkiOA1,Trigger
2650,0nRVAnU410D5nOyVWCadJh,Future Nostalgia
2651,5gCxcHCAA50nboku1ks180,Palabras Del Silencio (Edición Aniversario - Un Año Despues)
2677,0OChMQnL4dpFZQH93uPb1d,La Mejor Versión de Mi (Remix)
2678,2kcKdEULKToIB701VWtOPr,Fantasias (Remix) [feat. Farruko & Lunay]
2682,7vUJAdvDYXhjf1p0P2yIxh,Los Vaqueros: La Trilogía
2683,0F77QekrNe8vVAjU2sepja,One of These Nights (2013 Remaster)
2704,7ik4rjxOnmwnAWWzjj5ni3,Everything All The Time
2705,1C4UGzx5gD9b3X0UfAhY7z,Veni Vidi Vicious
2706,0PIR7PK8DMB4pgoxq7F9Ad,Holy Fire
2759,0CoNLgOwcZGBUSwd9fAZuy,Presenting the Fabulous Ronettes Featuring Veronica
2784,5dgSOOnRf2k9UJyijM9ZwV,Desce Pro Play (PA PA PA)
2785,6ltLI77XvUOwApSWpZbUGE,Someday Somewhere
2786,38QMtmbbl4jdpeQ29I8vMB,La Oscuridad
2787,1cPsN0zKo8jRP7eM81uvC8,Caile
2788,3h3fxvmPbYwBp8hqjl2lQD,Tanta Falta
2796,1reJ8DttK5EGwdyf7y9FBR,Don't Shoot Me I'm Only The Piano Player
2797,5u5AXYtYIxnIs4S7K3xHAN,Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe)
2798,4NmlDrnZOd3ejob9PoiOd9,Chicago 16 (Expanded & Remastered)
