album_id,album
7oJa8bPFKVbq4c7NswXHw8,Shape of You
2ZfHkwHuoAZrlz7RMj0PDz,Blinding Lights
2pJXQvY0YeDvVJ9gMU9G7j,The Kids Are Coming
4AabsQ6plH3OmdE6BWI04j,rockstar
3hARKC8cinq3mZLLAEaBh9,Views
0rSLgV8p5FzfnqlEk4GzxE,Closer
47LpgGVshd0tbFSbm9tTLb,Sunflower (Spider-Man: Into the Spider-Verse)
2YDNDwQvsU0njt7Kq0xNRY,Scary Hours
1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition)
2ZaX1FdZCwchXl1QZiD4O4,Señorita
0NVQ9k3wKmuK6T02lLMl6y,Breach
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
7oiJYvEJHsmYtrgviAVIBD,Back from the Edge
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe)
3KzCJaaRVza9FnSsqtAFeO,Believer
5chBPOVY2I0bG5V3igb5QL,Havana (feat. Young Thug)
7fZH0aUAjY3ay25obOUf2a,Purpose (Deluxe)
4rnl39iMQXOYZcw9J7ml4y,Starboy
7kYBLI9MzERZtMMByoZtOs,Dua Lipa
2Ti79nwTsont5ZHfdxIzAm,?
24X4IZGu9QcQ8pVf9dFAGg,Goodbye & Good Riddance
7IzpJkWQqgz1BTutQvSitX,Something Just Like This
1SI0AMK6rb2J8S0Jazli9D,Lean On (feat. MØ & DJ Snake)
3smvpv7CdrhVcGYaNDLOqn,Despacito Feat. Justin Bieber (Remix)
0VvK3TRKSJTk2FR4bzCV1w,Thunder
4CZVGlURM8vncG4ftZULTS,XO TOUR Llif3
2SByipSK8eZ2pasaIwwzhf,Don't Let Me Down
7wbJhbCvhPfbK1CLAkpq25,DAMN.
1TSZDcvlPtAnekTaItI3qO,A Night At The Opera (2011 Remaster)
78EicdHZr5XBWD7llEZ1Jh,Happier
4OTAx9un4e6NfoHuVRiOrC,Love In The Future (Expanded Edition)
31VgmdtmYLMb31XhP3RPVc,I Took A Pill In Ibiza (Seeb Remix)
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys
4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack
55bbXORm6ZrVq52zfZnxBf,Encore
4pvMZr2Kfe1typbTqMHa8z,Faded
3cQO7jp5S9qLBoIVtbkSM1,Blurryface
