album_id,copyright
0Zp2eVzR9FW6lKX05lRpcu,(P) 1981 Venusnote Ltd. under exclusive license to Sony Music Entertainment International Ltd
1l2SxZKUm1UH45qUqpLfYH,2008 Lemonade Music
1l2SxZKUm1UH45qUqpLfYH,2008 Lemonade Music
3TgOrQ3p23Af8zSsxK8fdX,"2019 2020 Isolation Network, Inc. d/b/a Ingrooves"
3TgOrQ3p23Af8zSsxK8fdX,"2019 2020 Isolation Network, Inc. d/b/a Ingrooves"
4IRiXE5NROxknUSAUSjMoO,"(P) 2019 Columbia Records, a Division of Sony Music Entertainment"
643wn4zcqIH2VkOsoXH14X,"© 2014 Island Records, a division of UMG Recordings, Inc."
643wn4zcqIH2VkOsoXH14X,"℗ 2014 Island Records, a division of UMG Recordings, Inc."
2MFS6WG6jnPAgvJpV3PehR,"© 2019 DJ Snake Music Productions Limited, under exclusive license to Interscope Records"
2MFS6WG6jnPAgvJpV3PehR,"℗ 2019 DJ Snake Music Productions Limited, under exclusive license to Interscpe Records"
4MgtwNYjD89Oj2km6eFRYd,"This compilation (P) 2018 Columbia Records, a division of Sony Music Entertainment"
5pMShIZc6oWiEtcQvXsKfb,"© 1995 Virgin Records America, Inc."
5pMShIZc6oWiEtcQvXsKfb,"℗ 1995 Virgin Records America, Inc."
6d5tBL8NLw1Jdhr8D2w3PF,(P) 1985 Sony Music Entertainment (UK) Ltd.
5WupqgR68HfuHt3BMJtgun,© 2014 This Record Company Ltd.
5WupqgR68HfuHt3BMJtgun,℗ 2014 This Record Company Ltd.
3R3x4zIabsvpD3yxqLaUpc,"(P) 1983 Columbia Records, a division of Sony Music Entertainment"
6lMlX68jJrx67hiCqdiDvW,© 2019 Darkroom/Interscope Records
6lMlX68jJrx67hiCqdiDvW,℗ 2019 Darkroom/Interscope Records
2MH37enG6IPvNK5QFLyKes,"(P) 1985 Arista Records, Inc."
2o2G49EPi4lua5zgxUKhLL,© 2014 A&M Records
2o2G49EPi4lua5zgxUKhLL,℗ 2014 A&M Records
13dXX35pYjr8FqRla40K2a,© 1978 The Island Def Jam Music Group
13dXX35pYjr8FqRla40K2a,℗ 2001 The Island Def Jam Music Group
7MH5ah4TuR5b7ENaloxEtr,© 2015 Roc Nation Records
7MH5ah4TuR5b7ENaloxEtr,℗ 2015 Roc Nation Records
2aiXLBCDJHmJsakKO2qw2g,© 2018 Star Island Inc
2aiXLBCDJHmJsakKO2qw2g,℗ 2018 Star Island Inc
1V9QpD8kjA2iHCElhFGvlo,"© 2019 UMG Recordings, Inc."
1V9QpD8kjA2iHCElhFGvlo,"Universal Music Latino; ℗ 2019 UMG Recordings, Inc."
1GbtB4zTqAsyfZEsm1RZfx,© 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV
