album_index,album_id,album_name

15,5chBPOVY2I0bG5V3igb5QL,Havana (feat. Young Thug)
20,2Ti79nwTsont5ZHfdxIzAm,Goodbye & Good Riddance
32,4OTAx9un4e6NfoHuVRiOrC,beerbongs & bentleys
49,3xFSl9lIRaYXIYkIn3OIl9,Cold Water (feat. Justin Bieber & Mï¿½)
51,3o99825qhG7K7D07naRs4F,Despacito (Featuring Daddy Yankee)
55,40LbnfieVTWtHrK24WQeEB,Cheerleader (Felix Jaehn Remix Radio Edit)
67,3meZFplbMmji648oWUNEfQ,Attention
74,0OY2WzmmPG8yRZzmMeTX9N,Nine Track Mind
85,2o9McLtDM7mbODV7yZF2mc,When It's Dark Out
89,6bfkwBrGYKJFk6Z4QVyjxd,"Love Me Like You Do (From ""Fifty Shades Of Grey"")"
101,4YtTX4GPvBvewbJvBfXCS2,Castle on the Hill
120,3cG32DOXJoYlOHMmJIaQsm,PRISM (Deluxe)
140,5YErGPYkVAaEV04hVFdmvW,This Girl (Kungs Vs. Cookin' On 3 Burners)
147,3Ywlsvgu3H6L3q9NHydNR3,FourFiveSeconds
155,0LUr5Q06EQu7QIid7cACFU,Listen
166,5AMOKSM1ftb3opIbGT2d4q,Megalithic Symphony (Deluxe)
169,77UW17CZFyCaRLHdHeofZu,Unorthodox Jukebox
170,0zAsh6hObeNmFgFPrUiFcP,Nothing Was The Same (Deluxe)
174,6lBTYoX7ZzU2Xbf8RHAv0u,Listen Again
177,3cfAM8b8KqJRoIzt3zLKqw,Bad (feat. Vassy) [Radio Edit]
178,4bTjdxhRRUiWfwj200f9Kl,The Lumineers
180,7DJgfpwm8MT0Kd3yqjb6eg,Halcyon Days
184,4QcXq4vTVN7dFb7bZa9jG2,In A Tidal Wave Of Mystery (Deluxe Edition)
198,3Sags1sVK0ynALAsA9gPTQ,Tattoos (Deluxe Edition)
200,5tF2lAa2rh2kU2xIiBzWia,We Are Young (feat. Janelle Monï¿½e)
206,3RKhRsifs4RWrqvWV1YpPY,Communion (Deluxe)
173,0F2MMiljdGFIOIkImGVYoh,Blurred Lines (Deluxe)
17,4rnl39iMQXOYZcw9J7ml4y,Starboy
112,3cG32DOXJoYlOHMmJIaQsm,How Deep Is Your Love
151,3beitV4REkUMQn4BXZlD8F,Ain't Nobody (Loves Me Better)
183,4cCfFozyo6JC8acN8uIP7u,Magic
184,5ps3FwS0qGdRCvXop8q9vn,In A Tidal Wave Of Mystery (Deluxe Edition)
26,2SByipSK8eZ2pasaIwwzhf,Don't Let Me Down
223,7DJG2krID3cGfejO7YRr3c,Party Time! 50 Classic Party Tracks
225,307C8qOXhP1iVcp2MttpmO,You Know You Like It
227,0dAvbhVYW3bGnLldQ8Nvwn,American Beauty/American Psycho
237,4neocSMt40stXKK2B8Sy2G,Fan of A Fan The Album (Expanded Edition)
241,3QZ9gSv35M8vfQA127l3vn,Dark Sky Paradise (Deluxe)
250,6TJmQnO44YE5BtTxH8pop1,Hot Fuss
268,77HfZENS166sAS9SUoBwYG,The Greatest
274,0l28Q1FFEA0mtpEdEQw1r3,Don't Mind
317,5uJpRBjDkTW8wtwDimhkdm,Babel (Deluxe Version)
324,3MVL172L0WhFYwG9wvEyFr,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)"
330,0f2teAfQd97LzryrjUDXCL,"Save Me, San Francisco (Golden Gate Edition)"
349,7HOzvP7Ta2lLueojdlJtdZ,An Awesome Wave
350,1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans
370,4i9yM8JoAgeh6ekZjk08U1,Shot Me Down (feat. Skylar Grey)
373,6cunQQ7YZisYOoiFu2ywIq,Up All Night
410,5oWQ2uILvj5bAjeIjSYYc8,When We Were Young
430,5l3jo3oe2M7KM37SIeUzLc,Omen (Radio Edit)
446,6RDgz01L7K6gG7hPs3Vszi,Wilder Mind (Deluxe)
454,3arNdjotCvtiiLFfjKngMc,AT.LONG.LAST.A$AP
470,6400dnyeDyD2mIFHfkwHXN,Pablo Honey
451,1gIC63gC3B7o7FfpPACZQJ,4
499,3I9Z1nDCL4E0cP62flcbI5,Appetite For Destruction
503,6Xhb46t8f3z8FkuXQAj4UV,GENERATIONWHY
508,0MYABBSxz6JqujXq2JBvsF,Talk That Talk (Deluxe)525,7KAoB1N8QmvYVQv5cwe9Xp,Demi
546,5HRQFmLEuzQP8e12o8DzB5,Colour The Small One
556,22lEQJ7khtB2yvsq84FDQb,Motivan2
566,2b92Z0geIyu1d3vH4vo6I1,Caroline
582,3EwBqZP15qaDl3B6DuWXZ7,Chantaje
604,4fkwYpgopcuTTR0fvseWXk,I Told You
607,4KXLjIEas8MTwwX3xpmAdC,V (Deluxe)
613,0eGvq1J5Ke7VlLLOYIlY4k,The Rokstarr Hits Collection
627,6yKhjUoOsHa60DSqpugerw,Shed a Light
633,0geTzdk2InlqIoB16fW9Nd,Sneakinï¿½
636,6IZNCnM8eo8T67i65FrbGA,I Got You
595,3tWaxq6QGN4jkrrXHcvNBA,Bad and Boujee (feat. Lil Uzi Vert)
674,4vu7F6h90Br1ZtYYaqfITy,The Razors Edge
693,69wjSAZXZiD2EBia3b3gxL,Piano Man (Legacy Edition)
709,0EMhE1oBYG37o0OaArsCIj,Toto IV (Alben fï¿½r die Ewigkeit)
731,1L6sJLS18bJTadBupSYFAp,B'Day738,0glJnyA8SbcP5G2vtPDMNB,Brothers
759,5N6Jn6dBh0WqLzGfOPytgx,Kauai793,4cJyCdYZKnIhxQCSymU2ES,Gecko (Overdrive)
806,6VABPTmDOYrO5cfyKZk7F7,Friends (with BloodPopï¿½)
811,0bXEsNAuMFPap5TjtUzvK8,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"
813,5l5gR4rh26QI3fijGFTDrp,Dusk Till Dawn (Radio Edit)
815,5Eevxp2BCbWq25ZdiXRwYd,One More Light
817,1oOtMDLY2ezuvrvodAxj8o,Mayores
819,5wtK6rD6OVbGxxiQ7gzgfD,Diles822,3Hmmcy5kIXlXoDqKgaHslu,31 Minutes to Takeoff
823,4Wx07YW6hrwBSGOOPdDERt,Urban Hymns (Super Deluxe / Remastered 2016)
826,5yCGZN5V9tcmmGrh0G9ThO,Dig Your Roots
829,57Cm8PM2tz8TAvbbPFglMG,Rich Love
833,3W1U3ids2lzyy8RWqgi3Ot,Bonfire
837,2sPYPyDFwgi1jrRTGhoxq2,Stargazing - EP
838,0H8gMD022h8O3OYt4HYxSr,Perception
842,3smlfAmejcKMmAPg1G2Kki,Trap Lord
843,0lMQ62U6h3LFyMArBaEdrB,Candy Paint
849,733e1ZfktLSwj96X5rsMeE,Luv Is Rage 2
851,2Y42QS2bGi5NokHzjticau,Santa Tell Me
858,2wRRkEL20LRmLg64NI2Ru2,ï¿½chame La Culpa
860,2mqj8lMnZRYR5hapcNVpRq,Me Llamas (feat. Maluma) [Remix]
865,0MV1yCXcNNQBfwApqAVkH0,Without Warning
