album_id,label
0Zp2eVzR9FW6lKX05lRpcu,Venusnote Ltd.
1l2SxZKUm1UH45qUqpLfYH,Lemonade Music
3TgOrQ3p23Af8zSsxK8fdX,Rich Music/Ingrooves Records
4IRiXE5NROxknUSAUSjMoO,Columbia
643wn4zcqIH2VkOsoXH14X,Safehouse Records / Island Records
2MFS6WG6jnPAgvJpV3PehR,DJ Snake Music Productions Limited
4MgtwNYjD89Oj2km6eFRYd,Columbia/Legacy
5pMShIZc6oWiEtcQvXsKfb,Virgin Records
6d5tBL8NLw1Jdhr8D2w3PF,Epic
5WupqgR68HfuHt3BMJtgun,UMC (Universal Music Catalogue)
3R3x4zIabsvpD3yxqLaUpc,Columbia
6lMlX68jJrx67hiCqdiDvW,Darkroom/Interscope Records
2MH37enG6IPvNK5QFLyKes,Arista
2o2G49EPi4lua5zgxUKhLL,A&M
13dXX35pYjr8FqRla40K2a,Island Records
7MH5ah4TuR5b7ENaloxEtr,Belly/Roc Nation
2aiXLBCDJHmJsakKO2qw2g,Star Island
1V9QpD8kjA2iHCElhFGvlo,N&E Entertainment LLC
1GbtB4zTqAsyfZEsm1RZfx,EMI
6Ad1E9vl75ZB3Ir87zwXIJ,Universal Music AB
6XSSTHK08ICCZdS5AEq95R,National Own (UC)
3IO8IPjwXuzPJnoaqkwYrj,Republic Records
4asBn7hzIq2Ka7rDzJN24P,Rhino
2njbaonul4fuGOFmPchUgU,VP Records Corp/Dimelo Vi
7dKQCCQnnkqgRQFxKRDqkJ,Virgin Catalogue
3ekkFrfotMsEAKc5g71GHk,RCA/Legacy
0OmYuz9hwn1XoqmDaU0yJ7,EMI
0Y59j5oCvwTM2aNyPb6YpJ,Virgin
3KFWViJ1wIHAdOVLFTVzjD,EMI
6pL7kL9cOc0DpWCq6qJtxQ,Mötley Records
5eg56dCpFn32neJak2vk0f,Arista/LaFace Records
6RfgcwsOUlWkGNAd6zjjYd,Geffen
5FMrMKf6HODHa3DwYLPLHt,Brunswick
6eedtCtCjibu80yOhylSGL,Geffen
3YfIjaJEWqiSbKPguS9Bxd,Echo
1PTTAq0OxggVgqP5WTYWDh,"2019 Real Hasta La Muerte, LLC."
5MKInakULmoBNApeB2ZB3A,Atlantic Records UK
6TZp52tXShLQbq8yNMxqNT,S-Curve Records
15J400U0rEpgE64UQgtvLs,EMI
0BkpKcHw606at6Y2cp8kdE,A&M
0JA38Ekhsv43y2lBj5GQkQ,Columbia
57BhVBJbVPfIbwLANO5fSe,Mosley Music/Interscope Records
24TAupSNVWSAHL0R7n71vm,Epic/Legacy
7qAJpYeABXN9ZV5wOOX59k,"YG Entertainment, distributed through Interscope Records"
4fF56KwtoOvsd9uVmlEfxL,Ca$h Machine Records
72mfhbEsMtXR6s7v9UhKe3,Parlophone UK
1ER3B6zev5JEAaqhnyyfbf,Rhino
1hj1SYbJYdXloRiSjsCLXg,Legacy Recordings
0RADUK8yTUBidzBke6Eszq,Cargo
5pnJrocLlZ3FWEbcr2PTz0,Columbia
50eHcXc4qede9mUKCYOuoz,Universal Music Spain S.L.
4OHfmMUq6xwCo8zfQuc9Rf,300 Entertainment/Atl
22rp3PnM3q2mtTI0OGCzpq,Disruptor Records/Columbia
3v17hBg9lx5vdJQ8Dfr6OD,Columbia
0C3t1htEDTFKcg7F2rNbek,RCA Records Label
7DMS5dzWQu7R3D59CKw4TA,Interscope Records
5s6M2lAR8GdGh8uEJA3HJu,UMLE - Latino
3Lg4pp9DVSsqcCA0IP82n6,Atlantic Records
5AXNN75OmMjFrwst6ExNPx,Polydor Records
7BuCGZPiQkZpyn0Wj8rxIh,Geffen
35i6JrOJDOFIUuyQDtMjbA,Spinnin' Records
5jNDWA19BJbE24x1UUJGRY,RCA Records Label
6dFFcYQ8VhifgdKgYY5LYL,Nice Life/Atlantic
0OWwtYwEZFMquSeHGNv3cw,Atlantic Records
4nvgSs9EQXS5AIwprqq8OU,Brushfire Records/Universal
6NzT9eDEkJvnbL2gLcT6ai,Sony Music Latin/La Industria
49K82qcZN4u109e6Zw8io1,Generation Now/Atlantic
4UsjjAKbtKzmgEz2pGbv6P,Island Records
1BfLzaTFI5qKsAAk0Ae6aV,Chris Brown Entertainment/RCA Records
7lqieLm717j9Z8JrG7POkS,Lauv
7fd7SEK25VS3gJAUgSwL6y,"Quality Control Music, LLC"
6GeHCNwwqMMUrpxuGTRYcf,Def Jam Recordings
0oX4SealMgNXrvRDhqqOKg,Epic/Legacy
3KjXg0MDej2pG9fv6I22lT,Capitol Records
6gPZmYBSipug1asf4zu9jh,Positiva
1ABRc0UFHY3x6rKQeFBTQ0,Universal Records
5I0eRWD0PLOmswFHZhcD12,B.H.A.D. Music
6i6folBtxKV28WX3msQ4FE,EMI
7baaCf70tVcUBL2bbkuXjo,Capitol
0xbuJLlb5afBcmCpdOaszR,Epic Amsterdam
593hMJS0UPItZBWSWPX1Qb,187 Strassenbande
5uRdvUR7xCnHmUW8n64n9y,Daft Life Ltd./ADA France
0cqRGWD3uc5Lggpducn5nD,Virgin
5M3BrdaT0TV5SsYsM5PM8X,"I.G. Records, Inc./Universal Records"
5B6XfyHHYawyLkEvNvhSPh,EMI Recorded Music Australia Pty Ltd
00HZxSA1sOS9T3nA950sg4,Republic Records
4i5b4YWuMtneUSvQPONwzK,UMLE - Latino
2UgmfoJF7x7cQmWADnoQdG,Universal Music AB
1VFgefav92A6JzlPSUatzV,"Ultra Records, LLC"
3YIUNL7qFE8NP3X3zaYSND,Sony Music Latin
4WlC4FXhonJhNTXCQPGP3r,Columbia
1FvdZ1oizXwF9bxogujoF0,Portrait
1m8eXQqp3QCQyR56fgbm6o,Walt Disney Records
5MBUL8d9FAYCCMrogOFX68,Parlophone (France)
4guW5WPxFzHrXg04FPC9v9,Atlantic Records
2h5LDCGJCWUyaoEXQZHky6,A$AP Worldwide/Polo Grounds Music/RCA Records
2RNTBrSO8U8XjjEj9RVvZ5,Round Hill Music (Offspring)
4FFBjcmX06VmazABtpRMyv,Republic Records
31q47gQszFt0CddSyMksgO,Fantasy Records
0JwHz5SSvpYWuuCNbtYZoV,Columbia
5I0Wf7lRLZArM1K2uQ1AEA,WM UK
7GjG91tyHQNGEHzKJaqOi0,Astralwerks (ASW)
18iFxjZugvKhuNNMbLjZJF,Columbia
40vQONzvJb6sKejDN3eWza,Warner Records
2ZytN2cY4Zjrr9ukb2rqTP,Epic
4RLVTxnuVN5ZWZqBFnaaQt,Columbia/Legacy
26ztFK3E69j5THJQdyxC5w,Columbia
355bjCHzRJztCzaG5Za4gq,Columbia
4yLm8z5qT0MOfP8dtvm0jS,Virgin
3tQd5mwBtVyxCoEo4htGAV,RCA Records Label
5hDwXxawZfYuNxylzGXcqt,Eleven Seven Music
0Uv83rRhY5QvHKkQoULRKk,Universal-Island Records Ltd.
2m9Vuc9Q19qhSm6RQmBgsR,La Familia
1ONuDpN0a3zhCUyKCgtuzK,Disruptor Records/Columbia
6N9PS4QXF1D0OWPk0Sxtb4,Sony Music CG
1KOmHyNLuOe5YrPhD3Juuf,NF Real Music
