index	track	track_id	artist	artist_id	album	album_id	release_date	duration	explicit	danceability	energy	key	loudness	mode	speechiness	instrumentalness	liveness	valence	tempo	time_signature	playcount	yt_views	genres
0	Shape of You	0FE9t6xYkqWXU2ahLh6D8X	Ed Sheeran	6eUKZXaKkcviH0Ku9w2n3V	Shape of You	7oJa8bPFKVbq4c7NswXHw8	2017-01-06	03:54	False	0.825	0.652	1	-3.183	0	0.0802	0.0	0.0931	0.931	95.977	4	2971854102	5533840092	pop,dancehall,tropical house
1	Blinding Lights	0sf12qNH5qcw8qpgymFOqD	The Weeknd	1Xyo4u8uXC1ZmMpatF05PJ	Blinding Lights	2ZfHkwHuoAZrlz7RMj0PDz	2019-11-29	03:22	False	0.513	0.796	1	-4.075	1	0.0629	0.000209	0.0938	0.345	171.017	4	2636804603	611764719	synthwave,synth-pop,electropop
2	Dance Monkey	5ZULALImTm80tzUbYQYM9d	Tones And I	2NjfBq1NflQcKSeiDooVjY	The Kids Are Coming	2pJXQvY0YeDvVJ9gMU9G7j	2019-08-29	03:29	False	0.824	0.588	6	-6.4	0	0.0924	0.000104	0.149	0.513	98.027	4	2407586466	1732473790	electropop
3	rockstar	7wGoVu4Dady5GV0Sv4UIsx	Post Malone	246dkjvS1zLTtiykXe5h60	rockstar	4AabsQ6plH3OmdE6BWI04j	2017-09-15	03:38	True	0.577	0.522	5	-6.594	0	0.0984	9.03e-05	0.142	0.119	159.772	4	2299920941	930777018	cloud rap,trap
4	One Dance	1xznGGDReH1oQq0xzbwXa3	Drake	3TVXtAsR1Inumwj472S9r4	Views	3hARKC8cinq3mZLLAEaBh9	2016-05-06	02:54	False	0.791	0.619	1	-5.886	1	0.0532	0.00423	0.351	0.371	103.989	4	2169189786	125034981	dancehall,afrobeats,pop,uk funky
5	Closer	7BKLCZ1jbUBVqRi2FVlTVw	The Chainsmokers	69GGBxA162lTqCwzJG5jLp	Closer	0rSLgV8p5FzfnqlEk4GzxE	2016-07-29	04:5	False	0.748	0.524	8	-5.599	1	0.0338	0.0	0.111	0.661	95.01	4	2149279940	2748130531	future bass,pop
6	Sunflower - Spider-Man: Into the Spider-Verse	1A6OTy97kk0mMdm78rHsm8	Post Malone	246dkjvS1zLTtiykXe5h60	Sunflower (Spider-Man: Into the Spider-Verse)	47LpgGVshd0tbFSbm9tTLb	2018-10-18	02:38	False	0.753	0.498	2	-5.61	1	0.0504	0.0	0.0706	0.927	89.95	4	2093628316	1628249621	hip hop,dream pop,r&b
7	God's Plan	6T8cJz5lAqGer9GUHGyelE	Drake	3TVXtAsR1Inumwj472S9r4	Scary Hours	2YDNDwQvsU0njt7Kq0xNRY	2018-01-20	03:19	True	0.755	0.448	7	-9.587	1	0.107	3.28e-05	0.514	0.318	77.179	4	1842127292	1372907744	pop,pop-rap,trap
8	Thinking out Loud	34gCuhDGsG4bRPIf9bb02f	Ed Sheeran	6eUKZXaKkcviH0Ku9w2n3V	x (Deluxe Edition)	1xn54DMo2qIqBuMqHtUsFd	2014-06-21	04:42	False	0.781	0.445	2	-6.061	1	0.0295	0.0	0.184	0.591	78.998	4	1883333813	3362661718	blue-eyed soul,soft rock
9	Señorita	0TK2YIli7K1leLovkQiNik	Shawn Mendes	7n2wHs1TKAczGzO7Dd2rGr	Señorita	2ZaX1FdZCwchXl1QZiD4O4	2019-06-21	03:11	False	0.759	0.54	9	-6.039	0	0.0287	0.0	0.0945	0.75	116.947	4	1994046572	1322184034	latin pop
10	Someone You Loved	2TIlqbIneP0ZY1O0EzYLlc	Lewis Capaldi	4GNC7GD6oZMSxPGyXy4MNB	Breach	0NVQ9k3wKmuK6T02lLMl6y	2018-11-08	03:2	False	0.501	0.405	1	-5.679	1	0.0319	0.0	0.105	0.446	109.891	4	2158875360	381597261	
11	bad guy	2Fxmhks0bxGSBdJ92vM42m	Billie Eilish	6qqNVTkY8uBg9cP3Jd7DAH	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	0S0KGZnfBGSIssfF54WSJh	2019-03-29	03:14	False	0.701	0.425	7	-10.965	1	0.375	0.13	0.1	0.562	135.128	4	1924749938	1141481504	electropop,dance-pop,pop-trap,nu-goth,pop
