channelId,channelTitle,publishedAt,spotify_index,title,video_id
UCx8v-goujcpBVF7QKALgp3g,Dan And Shay,2018-05-18T04:04:58Z,2360,Dan + Shay - Speechless (Wedding Video),7UoP9ABJXGE
UCUJTvb20oc_15y3DRNvZlEA,Swae Lee,2019-08-16T04:30:03Z,3896,Swae Lee - Won&#39;t Be Late ft. Drake (Lyric Video),iBioIsLoXoE
UCxE5jEls-T0QtlTHT8lI1lw,OliviaRodrigoVEVO,2021-04-01T16:00:27Z,4367,Olivia Rodrigo - deja vu (Official Video),cii6ruuycQA
UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,2014-12-18T12:51:02Z,2426,Jetta - I&#39;d Love to Change the World (Matstubs Remix),5hEh9LiSzow
UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,2016-10-28T07:00:01Z,323,Calvin Harris - My Way (Official Video),b4Bj7Zb-YD4
UCXJDX1KK6t121Z9FLhu5o2A,PinkVEVO,2012-10-10T10:00:27Z,450,P!nk - Try (Official Video),yTCDVfMz15M
UCFzm6oAGFmmZfkrzQ5wATSQ,ZEDDVEVO,2015-06-11T17:00:01Z,940,Zedd - Beautiful Now ft. Jon Bellion (Official Music Video),n1a7o44WxNo
UCVrPiUtl29kULN2HIAm244Q,LordeVEVO,2013-06-24T02:00:42Z,473,Lorde - Tennis Court,D8Ymd-OCucs
UCFNosi99Sp0_eLilBiXmmXA,FutureVEVO,2016-03-26T00:00:00Z,326,Future - Low Life (Official Music Video) ft. The Weeknd,K_9tX4eHztY
UC7X_qC_rgc3s04Aw1t5DSHg,georgemichaelVEVO,2009-10-25T21:05:50Z,2465,George Michael - Careless Whisper (Official Video),izGwDsrQ1eQ
UCXVMHu5xDH1oOfUGvaLyjGg,Lizzo Music,2018-06-22T15:44:26Z,2911,Lizzo - Boys (Official Video),HQliEKPg1Qk
UC3Pa0DVzVkqEN_CwsNMapqg,SamSmithVEVO,2019-07-19T03:58:14Z,2319,Sam Smith - How Do You Sleep? (Official Video),PmYypVozQb4
UCmPuJ2BltKsGE2966jLgCnw,acdcVEVO,2010-01-28T20:49:46Z,2151,AC/DC - Shoot To Thrill (Iron Man 2 Version),xRQnJyP77tY
UCtTfSyci2urfwXXu_eRpNRA,LilNasXVEVO,2019-07-19T04:00:06Z,1995,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,r7qovpFAGrQ
UCbulh9WdLtEXiooRcYK7SWw,Metallica,2009-10-27T01:50:56Z,2628,Metallica: Sad But True (Official Music Video),A8MO7fkZc5o
UCc4o6gJBS8VQto3ZR5Z_wcw,DireStraitsVEVO,2010-02-23T17:31:45Z,2191,Dire Straits - Walk Of Life,kd9TlGDZGkI
UCncmmq2xV1002xNnx9_rDhw,MoratVEVO,2015-11-13T09:00:00Z,2115,Morat - Cómo Te Atreves,_gm5piKnrS4
UCZijND2e2tPp2AQL8Go2YSg,BritneySpearsVEVO,2013-10-02T01:40:00Z,1595,Britney Spears - Work B**ch (Official Music Video),pt8VYOfr8To
UCUirUqYINiN09tUOviNn7Kw,Trap Kingdom,2016-03-12T16:40:03Z,2806,The Weeknd - Often (Kygo Remix),QhhxIMg2ulI
UCjYO25ZVJT523TD1iYHzcbw,ChildishGambinoVEVO,2012-02-11T05:00:00Z,1390,Childish Gambino - Heartbeat (Official Video),dFVxGRekRSg
UC9zY_E8mcAo_Oq772LEZq8Q,THE FIRST TAKE,2019-12-06T13:00:10Z,4000,LiSA - 紅蓮華 / THE FIRST TAKE,MpYy6wwqxoo
UCx3PiIfsGF0Px-vY5OciMDg,photofinishrecords,2008-10-20T16:37:48Z,2967,3OH!3 - DON&#39;T TRUST ME [OFFICIAL MUSIC VIDEO],mdB3Oyd5HtU
UCsFPCqkPsesPa8XxN1pJx-w,thebandheart,2015-12-18T07:57:09Z,2363,Heart - &quot;Barracuda&quot; (1977),PeMvMNpvB5M
