id,title,view
kJQP7kiw5Fk,Luis Fonsi - Despacito ft. Daddy Yankee,"7,629,395,165"
JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),"5,528,111,145"
RgKAFK5djSk,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"5,327,726,376"
OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"4,363,772,736"
9bZkp7q19f0,PSY - GANGNAM STYLE(ê°ë¨ì¤íì¼) M/V,"4,251,121,437"
FzG4uDgje3M,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],"3,705,418,896"
09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),"3,590,859,497"
fRh_vgS2dFE,Justin Bieber - Sorry (PURPOSE : The Movement),"3,485,406,464"
CevxZvSJLk8,Katy Perry - Roar (Official),"3,469,052,484"
hT_nvWreIhg,OneRepublic - Counting Stars (Official Music Video),"3,443,935,120"
lp-EO5I60KA,Ed Sheeran - Thinking Out Loud (Official Music Video),"3,359,422,534"
60ItHLz5WEA,Alan Walker - Faded,"3,179,698,852"
0KSOMA3QBU0,Katy Perry - Dark Horse (Official) ft. Juicy J,"3,177,254,349"
aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),"3,174,855,229"
NUsoVlDFqZg,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (EspaÃ±ol)","3,124,334,351"
YqeW9_5kURI,Major Lazer & DJ Snake - Lean On (feat. MÃ) (Official Music Video),"3,123,217,644"
RBumgq5yVrA,Passenger | Let Her Go (Official Video),"3,116,306,016"
nfWlot6h_JM,Taylor Swift - Shake It Off,"3,116,200,775"
k85mRPqvMbE,Crazy Frog - Axel F (Official Video),"3,095,836,745"
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),"3,012,431,934"
wnJ6LuUFpMo,"J Balvin, Willy William - Mi Gente (Official Video)","3,002,329,470"
pRpeEdMmmQ0,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cupâ¢ Song),"2,990,226,276"
YQHsXMglC9A,Adele - Hello,"2,911,790,897"
e-ORhEE9VVg,Taylor Swift - Blank Space,"2,886,020,296"
PT2_F-1esPk,The Chainsmokers - Closer (Lyric) ft. Halsey,"2,746,086,764"
3AtDnEC4zak,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],"2,745,878,814"
6Mgqbai3fKo,Shakira - Chantaje (Official Video) ft. Maluma,"2,690,570,089"
astISOttCQ0,The Gummy Bear Song - Long English Version,"2,665,392,963"
L0MK7qz13bU,FROZEN | Let It Go Sing-along | Official Disney UK,"2,657,101,118"
kffacxfA7G4,Justin Bieber - Baby (Official Music Video) ft. Ludacris,"2,618,340,964"
papuvlVeZg8,Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],"2,603,907,116"
k2qgadSvNyU,Dua Lipa - New Rules (Official Music Video),"2,550,737,432"
kOkQ4T5WO9E,Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna,"2,526,129,248"
5GL9JoH4Sws,Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,"2,514,187,436"
7PCkvCPvDXk,Meghan Trainor - All About That Bass,"2,485,428,931"
2vjPBrBU-TM,Sia - Chandelier (Official Video),"2,441,848,529"
pXRviuL6vMY,twenty one pilots: Stressed Out [OFFICIAL VIDEO],"2,413,778,026"
1_zgKRBrT0Y,"Pedro CapÃ³, Farruko - Calma (Remix - Official Video)","2,395,265,050"
DiItGE3eAyQ,Daddy Yankee & Snow - Con Calma (Video Oficial),"2,387,527,099"
uelHwf8o7_U,Eminem - Love The Way You Lie ft. Rihanna,"2,312,979,302"
VqEbCxg2bNI,Natti Natasha â Ozuna - Criminal [Official Video],"2,309,626,709"
9jI-z9QN6g8,"Casper, Nio GarcÃ­a, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial)","2,292,132,799"
fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),"2,232,669,927"
AJtDXIazrMo,Ellie Goulding - Love Me Like You Do (Official Video),"2,225,339,520"
ixkoVwKQaJg,"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)","2,210,637,606"
DK_0jXPuIr0,Justin Bieber - What Do You Mean? (Official Music Video),"2,173,233,697"
lY2yjAdbvdQ,Shawn Mendes - Treat You Better,"2,164,848,975"
ALZHF5UqnU4,Marshmello - Alone (Official Music Video),"2,162,503,792"
TyHvyGVs42U,"Luis Fonsi, Demi Lovato - Ãchame La Culpa (Video Oficial)","2,161,396,389"
PIh2xe4jnpk,MAGIC! - Rude (Official Video),"2,152,711,642"
IcrbM1l_BoI,Avicii - Wake Me Up (Official Video),"2,114,120,291"
KQ6zr6kCPj8,"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Video)","2,100,159,889"
7wtfhZwyrcc,Imagine Dragons - Believer,"2,075,852,858"
GMFewiplIbw,"Becky G, Bad Bunny - Mayores (Official Video)","2,068,151,319"
AETFvQonfV8,"à¤¶à¥à¤°à¥ à¤¹à¤¨à¥à¤®à¤¾à¤¨ à¤à¤¾à¤²à¥à¤¸à¤¾ Hanuman Chalisa I GULSHAN KUMAR I HARIHARAN, Full HD Video, Shree Hanuman Chalisa","2,067,304,228"
_I_D_8Z4sJE,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,"2,034,396,362"
YBHQbu5rbdQ,Fifth Harmony - Worth It (Official Video) ft. Kid Ink,"2,025,812,785"
450p7goxZqg,John Legend - All of Me (Official Video),"2,021,683,294"
FM7MFYoylVs,The Chainsmokers & Coldplay - Something Just Like This (Lyric),"2,006,833,459"
rtOvBOTyX00,Christina Perri - A Thousand Years [Official Music Video],"1,977,181,877"
l0U7SxXHkPY,Future - Life Is Good (Official Music Video) ft. Drake,"1,975,448,490"
34Na4j8AVgA,The Weeknd - Starboy ft. Daft Punk (Official Video),"1,968,649,803"
zEf423kYfqk,"Becky G, Natti Natasha - Sin Pijama (Official Video)","1,963,811,345"
SXiSVQZLje8,Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,"1,956,500,681"
PMivT7MJ41M,Bruno Mars - Thatâs What I Like (Official Music Video),"1,942,958,258"
rYEDA3JcQqw,Adele - Rolling in the Deep (Official Music Video),"1,915,295,041"
p7bfOZek9t4,"ROSALÃA, J Balvin - Con Altura (Official Video) ft. El Guincho","1,885,071,492"
vjW8wmF5VWc,SilentÃ³ - Watch Me (Whip/Nae Nae) (Official),"1,839,030,388"
HCjNJDNzw8Y,Camila Cabello - Havana (Audio) ft. Young Thug,"1,838,016,665"
lWA2pjMjpBs,Rihanna - Diamonds,"1,832,032,742"
t4H_Zoh7G5A,Jennifer Lopez - On The Floor ft. Pitbull,"1,826,861,703"
QFs3PIZb3js,Romeo Santos - Propuesta Indecente (Official Video),"1,819,626,448"
TapXs54Ah3E,J. Balvin - Ay Vamos (Official Video),"1,817,115,887"
8UVNT4wvIGY,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],"1,805,455,153"
hLQl3WQQoQ0,Adele - Someone Like You (Official Music Video),"1,791,790,670"
0VR3dfZf9Yg,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)","1,791,111,349"
uxpDa-c-4Mc,Drake - Hotline Bling,"1,791,041,305"
sGIm0-dQd8M,Daddy Yankee - Dura (Video Oficial),"1,786,767,187"
UprcpdwuwCg,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],"1,768,745,770"
Io0fBr1XBUA,The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,"1,764,843,061"
8SbUC-UaAxE,Guns N' Roses - November Rain,"1,760,097,859"
tt2k8PGm-TI,ZAYN - Dusk Till Dawn (Official Video) ft. Sia,"1,755,244,144"
yzTuBuRdAyA,The Weeknd - The Hills (Official Video),"1,747,967,356"
fKopy74weus,Imagine Dragons - Thunder,"1,745,997,924"
0HDdjwpPM3Y,"Jessie J, Ariana Grande, Nicki Minaj - Bang Bang (Official Video)","1,745,731,240"
iOe6dI2JhgU,Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma,"1,745,101,092"
IHNzOHi8sJs,BLACKPINK - âëëëë (DDU-DU DDU-DU)â M/V,"1,744,724,615"
t_jHrUE5IOk,Maluma - Felices los 4 (Official Video),"1,740,174,466"
q0hyYWKXF0Q,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),"1,728,524,865"
kXYiU_JCYtU,Numb [Official Music Video] - Linkin Park,"1,701,226,086"
y7d9VLRO3vc,Piso 21 - DÃ©jala Que Vuelva (feat. Manuel Turizo) [Video Oficial],"1,686,216,090"
nYh-n7EOtMA,Sia - Cheap Thrills (Lyric Video) ft. Sean Paul,"1,683,219,252"
_P7S2lKif-A,MC Fioti - Bum Bum Tam Tam (KondZilla) | Official Music Video,"1,672,733,338"
LjhCEhWiKXk,Bruno Mars - Just The Way You Are (Official Music Video),"1,667,674,043"
7jpqqBX-Myw,CNCO - ReggaetÃ³n Lento (Bailemos),"1,665,823,411"
wfWkmURBNv8,Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),"1,663,307,632"
w2C6RhQBYlg,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)","1,651,963,567"
NGLxoKOvzu4,Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],"1,642,354,107"
AMTAQ-AJS4Y,Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),"1,640,524,573"
oyEuk8j8imI,Justin Bieber - Love Yourself (Official Music Video),"1,630,316,532"
